                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 0.5561,                0.44029,                0.93056,                0.98822,                0.96413,                0.98884,                 0.8221,                0.63323,                0.44726,                0.92902,              0.0010496,              0.0010496,              0.0010496
                     50,                0.56358,                0.45539,                 0.9342,                0.98625,                0.97701,                0.99147,                0.81837,                0.67738,                0.43499,                0.93267,              0.0010298,              0.0010298,              0.0010298
                     51,                0.57433,                0.46279,                  0.941,                0.96997,                0.97701,                0.99214,                0.84527,                0.60552,                0.42535,                0.92237,                0.00101,                0.00101,                0.00101
                     52,                0.57971,                0.47589,                 0.9452,                0.98127,                0.96552,                0.98383,                0.79754,                0.65009,                 0.4374,                0.91834,              0.0009902,              0.0009902,              0.0009902
                     53,                0.56164,                0.45791,                0.90843,                0.98797,                0.97701,                0.99316,                 0.8283,                0.65216,                0.41929,                0.91274,              0.0009704,              0.0009704,              0.0009704
                     54,                0.56868,                0.43979,                0.92957,                0.96541,                0.98851,                0.99377,                 0.8352,                0.60664,                0.40695,                0.90936,              0.0009506,              0.0009506,              0.0009506
                     55,                0.54011,                0.43505,                0.90962,                0.98602,                0.96552,                0.99305,                0.83377,                0.62656,                0.39825,                0.91158,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.5424,                0.44659,                0.92299,                0.97669,                0.96328,                0.99246,                0.83772,                0.59379,                0.38993,                0.91341,               0.000911,               0.000911,               0.000911
                     57,                 0.5773,                0.44111,                0.93642,                0.99885,                0.98851,                0.99489,                0.84768,                0.58486,                0.39493,                0.89532,              0.0008912,              0.0008912,              0.0008912
                     58,                0.56359,                0.46151,                0.91817,                      1,                0.98698,                0.99416,                0.80749,                0.61042,                0.43799,                0.89318,              0.0008714,              0.0008714,              0.0008714
                     59,                0.51797,                0.41664,                0.89595,                0.99556,                      1,                  0.995,                0.85207,                0.56686,                0.38993,                  0.885,              0.0008516,              0.0008516,              0.0008516
                     60,                0.54612,                0.43995,                  0.905,                0.97464,                0.97701,                0.98255,                0.85478,                  0.551,                 0.3844,                0.87334,              0.0008318,              0.0008318,              0.0008318
                     61,                0.55835,                0.45619,                0.91234,                      1,                0.98711,                0.99489,                0.86507,                0.56018,                0.37706,                0.88008,               0.000812,               0.000812,               0.000812
                     62,                0.53329,                0.41741,                0.92399,                 0.9878,                0.98851,                0.99466,                0.85656,                0.59054,                0.38799,                0.89184,              0.0007922,              0.0007922,              0.0007922
                     63,                0.53118,                0.41167,                0.91302,                0.98848,                 0.9866,                0.99401,                0.85075,                0.61413,                0.38702,                0.89137,              0.0007724,              0.0007724,              0.0007724
                     64,                0.51962,                0.41691,                0.91156,                 0.9885,                0.98802,                0.99443,                0.85275,                0.62171,                0.40468,                0.90172,              0.0007526,              0.0007526,              0.0007526
                     65,                0.51706,                0.40158,                0.90483,                0.98485,                      1,                0.99466,                0.84546,                0.63079,                0.39206,                0.91326,              0.0007328,              0.0007328,              0.0007328
                     66,                0.51075,                0.41838,                0.90566,                0.98852,                0.98986,                0.99466,                0.85238,                0.57502,                0.38632,                0.90742,               0.000713,               0.000713,               0.000713
                     67,                0.50646,                 0.4057,                0.91083,                0.98828,                      1,                0.99398,                0.86005,                0.55524,                0.37017,                0.88303,              0.0006932,              0.0006932,              0.0006932
                     68,                0.47723,                0.37835,                0.89413,                0.97748,                0.99764,                0.99133,                0.85833,                0.57727,                0.39156,                0.89496,              0.0006734,              0.0006734,              0.0006734
                     69,                0.46632,                0.37736,                0.89365,                0.98747,                      1,                0.99386,                0.85499,                0.57609,                0.38505,                0.89916,              0.0006536,              0.0006536,              0.0006536
                     70,                0.47013,                0.37889,                0.89038,                0.98859,                0.99603,                0.99432,                0.85164,                0.56537,                0.38161,                0.88794,              0.0006338,              0.0006338,              0.0006338
                     71,                0.46774,                0.37356,                0.89653,                0.98862,                0.99814,                0.99398,                0.84745,                0.61035,                0.36816,                0.88967,               0.000614,               0.000614,               0.000614
                     72,                0.47964,                0.38084,                0.90243,                0.97744,                0.99595,                0.99269,                0.85762,                0.58936,                0.35988,                0.87528,              0.0005942,              0.0005942,              0.0005942
                     73,                0.50396,                0.40118,                0.91467,                0.98535,                      1,                0.99261,                0.87017,                0.55449,                0.34695,                 0.8643,              0.0005744,              0.0005744,              0.0005744
                     74,                0.52216,                0.42332,                0.89295,                0.97553,                      1,                0.99259,                0.86346,                0.52735,                0.33742,                0.85577,              0.0005546,              0.0005546,              0.0005546
                     75,                0.46032,                0.37085,                0.88568,                0.98849,                0.98691,                0.98403,                0.85886,                0.56101,                0.35483,                0.87665,              0.0005348,              0.0005348,              0.0005348
                     76,                0.45072,                0.36638,                0.89169,                0.98862,                0.99817,                0.99398,                0.87715,                 0.5499,                0.34426,                 0.8686,               0.000515,               0.000515,               0.000515
                     77,                0.50077,                0.39757,                0.88338,                0.98862,                0.99824,                0.99352,                0.87375,                0.55879,                0.32764,                0.88062,              0.0004952,              0.0004952,              0.0004952
                     78,                0.45454,                0.34598,                0.88038,                 0.9885,                0.98785,                0.99351,                0.86708,                0.56595,                0.32996,                0.89258,              0.0004754,              0.0004754,              0.0004754
